date,open,high,low,close,volume,market_cap,change,close_off_high,volatility
2018-06-28,442.29,443.618,419.683,422.365,1360790000,44381900000,-0.04504962807207943,0.775893043659911,0.054116077686585724
2018-06-27,432.244,444.243,424.839,442.365,1368940000,43364900000,0.023415015593044625,-0.8064316635745221,0.04489131138893772
2018-06-26,460.733,461.213,432.772,432.772,1356560000,46213600000,-0.06068807747654284,1,0.06172989562284453
2018-06-25,455.936,470.344,448.896,460.31,4007950000,45723100000,0.009593451712521107,-0.06434166355837356,0.04704169006176301
2018-06-24,474.768,475.359,426.469,457.672,2490580000,47601900000,-0.03600916658241488,-0.2764573532419734,0.1029766117345735
2018-06-23,466.274,479.129,462.393,474.52,1651380000,46740700000,0.017684880563788634,-0.4492112810707428,0.03589305858786904
2018-06-22,527.194,527.194,456.877,465.817,2226030000,52836600000,-0.11642203818708095,0.7457229403984811,0.13337974256156168
2018-06-21,536.447,543.717,524.259,527.367,1462070000,53752900000,-0.016926182828872267,0.6805427073697243,0.036271989590770326
2018-06-20,538.506,541.015,519.369,536.268,1596290000,53948200000,-0.004155942552172015,-0.5613970248544797,0.040196395211938137
2018-06-19,519.023,542.353,516.312,537.957,1726570000,51985700000,0.03648007891750456,-0.6623785568910588,0.050173113715577033
2018-06-18,499.383,521.796,494.066,518.891,1513870000,50008200000,0.039064205229252864,-0.7904796249549169,0.0555285221963905
2018-06-17,499.46,507.641,498.648,500.448,1264870000,50005800000,0.0019781363872982812,0.5996886467252407,0.018005445881552066
2018-06-16,490.414,503.223,488.851,499.642,1314110000,49090100000,0.018816754823475695,-0.5016699137211225,0.029305851790528033
2018-06-15,520.48,521.305,487.469,491.004,1808270000,52088900000,-0.05663233937903473,0.7910509516491293,0.06500922225637865
2018-06-14,478.381,523.545,467.466,519.742,2458650000,47865900000,0.08646037363524052,-0.8643699067387078,0.11722664570708276
2018-06-13,498.018,501.905,459.004,477.494,2080130000,49820500000,-0.04121136183832702,0.13801543087573576,0.08614347272588532
2018-06-12,532.71,538.955,491.235,496.843,1932760000,53280100000,-0.06732931613823659,0.764962279966471,0.08957969627001562
2018-06-11,524.857,536.858,515.269,533.284,1982120000,52483700000,0.016055801866032123,-0.6689054611144597,0.04113310863720965
2018-06-10,594.345,594.345,511.889,526.479,2234880000,59420100000,-0.11418620498195489,0.6461142912583675,0.1387342368489682
2018-06-09,600.905,608.583,597.562,597.562,1519310000,60063400000,-0.005563275392948904,1,0.018340669490185566
2018-06-08,605.443,608.811,595.593,601.077,1637780000,60504500000,-0.007211248622909152,0.17022242396731624,0.02183194784645305
2018-06-07,607.687,616.144,601.693,605.187,1880140000,60716100000,-0.004113959982688456,0.516434848799388,0.023780334283932388
2018-06-06,610.262,611.643,596.396,607.124,1756530000,60960700000,-0.005142053740852159,-0.4072276513412495,0.024984350983675983
2018-06-05,593.406,611.33,580.982,609.303,1844270000,59264900000,0.02678941567830465,-0.8664162383023567,0.05114205114205127
2018-06-04,619.437,623.429,583.747,592.985,1903430000,61851800000,-0.04270329347455835,0.5343984678191598,0.06406139768854624
2018-06-03,591.259,624.513,591.259,618.329,1832550000,59026100000,0.04578365826143862,-0.6280748180669947,0.05624269567144013
2018-06-02,580.429,597.077,577.322,591.808,1880390000,57932900000,0.01960446497332149,-0.46656542647430965,0.034035170537654036
2018-06-01,578.672,589.093,567.665,580.043,1945890000,57745700000,0.0023692177952276605,-0.1553108082882252,0.03702961263029833
2018-05-31,558.497,585.538,557.066,577.645,1985040000,55720800000,0.03428487529924069,-0.4455605507164909,0.05097968297054412
2018-05-30,566.83,583.136,545.431,559.59,2053970000,56540500000,-0.012772789019635532,0.24895902400212067,0.0665190621526735
2018-05-29,516.148,572.264,516.148,565.388,2330820000,51474400000,0.09539899408696732,-0.7549362035783029,0.10872075451227164
2018-05-28,573.045,576.049,512.552,516.036,2356900000,57136700000,-0.09948433369107142,0.8902625320881326,0.11080630666003535
2018-05-27,588.52,590.328,562.866,572.668,1788790000,58667600000,-0.02693536328417042,0.28614084917340143,0.04666281519744442
2018-05-26,587.426,606.175,583.512,587.28,1694300000,58546400000,-0.00024854194400668653,0.6674756210563448,0.038580178609731286
2018-05-25,602.14,617.186,575.624,586.734,2110920000,60000400000,-0.025585412030424734,0.46537702709205475,0.06902381505962071
2018-05-24,584.536,610.818,557.206,601.755,2791100000,58234400000,0.029457552657150377,-0.6619040513317916,0.09171719107120857
2018-05-23,646.67,651.636,572.952,583.585,2995430000,64411000000,-0.09755362085762433,0.7297290427532905,0.12167566146566251
2018-05-22,700.178,700.976,644.026,647.741,2230470000,69726300000,-0.07489095629968381,0.8695346795434582,0.08133646015727436
2018-05-21,717.193,719.278,692.494,699.222,2005170000,71405800000,-0.02505741132442732,0.49761051373954945,0.03734559595534256
2018-05-20,697.923,723.753,692.669,715.369,2156910000,69472800000,0.02499702689265152,-0.4605584866812509,0.04453786449221484
2018-05-19,695.072,715.578,686.791,696.53,2021550000,69174600000,0.002097624418765207,0.32337513460937606,0.04141585332167016
2018-05-18,672.102,695.031,663.809,694.367,2305740000,66874700000,0.03312741220826599,-0.9574658894369363,0.04645425843101193
2018-05-17,708.718,718.833,668.834,672.657,2350620000,70503400000,-0.050882015131547276,0.8470769415388271,0.07054851153773437
2018-05-16,708.087,710.2,682.541,707.05,2476130000,70426200000,-0.0014645093046476417,-0.7722260385407939,0.039061584240354635
2018-05-15,731.143,739.052,700.995,708.871,2523070000,72704300000,-0.030461893227453518,0.5860945423969324,0.052051377090391364
2018-05-14,732.733,742.17,695.792,730.549,3005110000,72847500000,-0.0029806218636255896,-0.49885721678382,0.06329454248682663
2018-05-13,687.175,741.312,675.319,733.496,2362500000,68304000000,0.06740786553643545,-0.7631263921931106,0.09603521664786999
2018-05-12,679.877,691.411,644.066,686.048,2668480000,67564600000,0.009076641804326444,-0.7734502059351589,0.06963759621225592
2018-05-11,727.013,736.977,669.825,679.586,3290080000,72233800000,-0.06523542220015326,0.7092863950440798,0.09236698656007516
2018-05-10,752.579,766.748,726.664,727.277,2748950000,74758700000,-0.03362039068323712,0.9694142301167521,0.05326218244197627
2018-05-09,752.902,759.529,718.472,752.275,2877870000,74775300000,-0.0008327777054650756,-0.6466376013834417,0.054531665475719304
2018-05-08,755.009,774.249,728.129,752.857,2920490000,74969200000,-0.0028502971487757676,-0.07233304423243492,0.061085364545323304
2018-05-07,793.339,795.758,710.178,753.725,4316120000,78758700000,-0.04993325677925834,-0.017691049310586737,0.10787317905712443
2018-05-06,816.088,835.057,764.883,792.311,3105570000,81000200000,-0.029135338345864577,0.21828597486248458,0.0859882757741812
2018-05-05,784.583,827.455,784.237,816.12,3035040000,77857000000,0.040195874751301056,-0.4754500439631627,0.05508403827256017
2018-05-04,776.775,803.746,762.632,785.624,3533410000,77066200000,0.011391973222619223,-0.1184511358661311,0.05292909787261438
2018-05-03,686.591,784.341,686.591,779.543,4210940000,68104600000,0.13538190858895616,-0.9018312020460357,0.14237005728301128
2018-05-02,674.075,688.842,667.42,687.149,2822270000,66849100000,0.01939546786336825,-0.8419381943796115,0.0317798464562549
2018-05-01,670.463,674.403,637.54,673.613,2678960000,66477200000,0.004698245839069555,-0.9571385942544035,0.05498140837003691
